Company_Name,Sector,Stage,Location,What_it_does,Funding_Amount($),Year,Investor,Redistributed_sector
Design Cafe,Home Decor,Series B,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",3000000.0,2018,Inflection Point Ventures,E-Commerce & Retail
NoPaperForms Solutions Pvt. Ltd.,EdTech,Series B,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",3980000.0,2018,Inflection Point Ventures,Education
Rays Power Infra,Energy,Series B,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,3000000.0,2018,Inflection Point Ventures,Energy & Environmental
AuthMetrik,B2B,Grant,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",10000.0,2018,Inflection Point Ventures,Others
Khidki,Artificial Intelligence,Seed,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,3000000.0,2018,Inflection Point Ventures,Technology & IT
LetsTransport,Logistics,Series B,Bangalore,Lets transport is a logistics solution provider.,3000000.0,2018,Inflection Point Ventures,Transport
Next Digital Solutions,Digital Marketing,Angel,Kota,Next Digital Solutions is website design & Digital Marketing development company.,3000000.0,2018,Inflection Point Ventures,Technology & IT
Portea Medical,Health Care,Debt,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,3000000.0,2018,Inflection Point Ventures,Health & Medical
Aavas Financiers,Finance,Post-IPO Debt,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",3000000.0,2018,Inflection Point Ventures,Finance
Swiggy,Food Delivery,Series H,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,1000000000.0,2018,Inflection Point Ventures,Food & Beverage
Milkbasket,E-Commerce,Series A,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",7000000.0,2018,Inflection Point Ventures,E-Commerce & Retail
Nutrisattva (Proliva),Fitness,Angel,Anand,Nutrisattva is a protein innovation compan,3000000.0,2018,Inflection Point Ventures,Sports & Fitness
Toppr,EdTech,Series C,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,35000000.0,2018,Inflection Point Ventures,Education
Jagaran Microfin,FinTech,Debt,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,3000000.0,2018,Inflection Point Ventures,Finance
Vivriti Capital,Financial Services,Debt,Chennai,Vivriti Capital is an online platform for institutional debt in India.,28500000.0,2018,Inflection Point Ventures,Finance
Be U Salons,Apps,Seed,New Delhi,Be U is India's first subscription based Salon Chain.,3000000.0,2018,Inflection Point Ventures,Others
Impact Guru,Creative Agency,Series A,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2000000.0,2018,Inflection Point Ventures,Media & Advertising
MobiKwik,Consumer Lending,Series E,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,3000000.0,2018,Inflection Point Ventures,Finance
Stones2Milestones,E-Learning,Seed,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,3000000.0,2018,Inflection Point Ventures,Education
Generico,Health Care,Series A,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,3000000.0,2018,Inflection Point Ventures,Health & Medical
Adiuvo Diagnostics,Health Diagnostics,Seed,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,3000000.0,2018,Inflection Point Ventures,Health & Medical
DataTrained,EdTech,Seed,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",3000000.0,2018,Inflection Point Ventures,Education
OneAssist,Financial Services,Debt,Mumbai,OneAssist is a protection & assistance services platform.,2400000.0,2018,Inflection Point Ventures,Finance
Satin Creditcare Network Limited (SCNL),Banking,Post-IPO Debt,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,30000000.0,2018,Inflection Point Ventures,Finance
APAC Financial Services,Finance,Private Equity,Mumbai,APAC Financial Services is a financial services platform.,3000000.0,2018,Inflection Point Ventures,Finance
Moglix,B2B,Series C,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",23000000.0,2018,Inflection Point Ventures,Others
SEDEMAC Mechatronics,Automotive,Series C,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,3000000.0,2018,Inflection Point Ventures,Transport
MadGuy Labs,E-Learning,Series C,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,150000.0,2018,Inflection Point Ventures,Education
Dee Dee Labs,Embedded Systems,Seed,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,3000000.0,2018,Inflection Point Ventures,Others
FLEECA,FinTech,Seed,Jaipur,FLEECA is a Tyre Care Provider company.,3000000.0,2018,Inflection Point Ventures,Finance
Shop101,Apps,Series B,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,11000000.0,2018,Inflection Point Ventures,Others
FeedMyPockets,Advertising,Seed,Bangalore City,On Demand Staffing Platform,3000000.0,2018,Inflection Point Ventures,Media & Advertising
Housejoy,Beauty,Series B,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,3240000.0,2018,Inflection Point Ventures,Fashion & Beauty
Ambee,Health Care,Angel,Bangalore,Ambee is an Environment analytics startup.,3000000.0,2018,Inflection Point Ventures,Health & Medical
